title,x,y,z,section,url
Terrapin Island - Terrapin Island,-200.0,130.0,1925.0,Terrapin Island,
Terrapin Island - Terrapin Island,10.0,155.0,2000.0,Terrapin Island,
Terrapin Island - Terrapin Island,160.0,125.0,1970.0,Terrapin Island,
Terrapin Island - Terrapin Island,25.0,140.0,1860.0,Terrapin Island,
Terrapin Island - Terrapin Island,140.0,150.0,2050.0,Terrapin Island,
Terrapin Island - Terrapin Island,-200.0,130.0,1930.0,Terrapin Island,
Terrapin Island - Terrapin Island,-175.0,145.0,1935.0,Terrapin Island,
Terrapin Island - Terrapin Island,35.0,130.0,1945.0,Terrapin Island,
Terrapin Island - Terrapin Hideaway,10.0,155.0,2000.0,Terrapin Hideaway,
Terrapin Island - Olm Cave,160.0,125.0,1970.0,Olm Cave,
Terrapin Island - Terrapin Cave,25.0,140.0,1860.0,Terrapin Cave,
Terrapin Island - Dreamers Crypt,140.0,150.0,2050.0,Dreamers Crypt,
Terrapin Island - Items For Sale,-200.0,130.0,1930.0,Items For Sale,
Terrapin Island - Items For Sale,-175.0,145.0,1935.0,Items For Sale,
Terrapin Island - Items For Sale,35.0,130.0,1945.0,Items For Sale,
Terrapin Island - For Sale,-200.0,130.0,1930.0,For Sale,
Terrapin Island - For Sale,-175.0,145.0,1935.0,For Sale,
Terrapin Island - For Sale,35.0,130.0,1945.0,For Sale,
Calm Zone - Mariana's Veil,1500.0,125.0,530.0,Mariana's Veil,
Calm Zone - Mariana's Veil,-1305.0,130.0,310.0,Mariana's Veil,
Calm Zone - Mariana's Veil,-3175.0,-2035.0,4020.0,Mariana's Veil,
Calm Zone - Mariana's Veil,740.0,-3355.0,-1530.0,Mariana's Veil,
Calm Zone - Mariana's Veil,-1480.0,137.0,382.0,Mariana's Veil,
Calm Zone - Mariana's Veil,-3365.0,-2260.0,3850.0,Mariana's Veil,
Calm Zone - Mariana's Veil,-800.0,-3280.0,-625.0,Mariana's Veil,
Calm Zone - Mariana's Veil,-3180.0,-2035.0,4020.0,Mariana's Veil,
Calm Zone - Mariana's Veil,2.0,500.0,0.0,Mariana's Veil,
Calm Zone - Mariana's Veil,10.0,0.0,0.0,Mariana's Veil,
Calm Zone - Mariana's Veil,15.0,0.0,0.0,Mariana's Veil,
Calm Zone - Mariana's Veil,1.0,0.0,0.0,Mariana's Veil,
Calm Zone - Submarine Depot,-1305.0,130.0,310.0,Submarine Depot,
Calm Zone - Submarine Depot,-1480.0,137.0,382.0,Submarine Depot,
Calm Zone - Cave System,-3175.0,-2035.0,4020.0,Cave System,
Calm Zone - Cave System,740.0,-3355.0,-1530.0,Cave System,
Calm Zone - Cave System,-3365.0,-2260.0,3850.0,Cave System,
Calm Zone - Cave System,-800.0,-3280.0,-625.0,Cave System,
Calm Zone - Volcanic Vents,-3175.0,-2035.0,4020.0,Volcanic Vents,
Calm Zone - Volcanic Vents,-3365.0,-2260.0,3850.0,Volcanic Vents,
Calm Zone - Challenger's Deep,740.0,-3355.0,-1530.0,Challenger's Deep,
Calm Zone - Challenger's Deep,-800.0,-3280.0,-625.0,Challenger's Deep,
Calm Zone - Items for Sale,-3180.0,-2035.0,4020.0,Items for Sale,
Calm Zone - Items for Sale,2.0,500.0,0.0,Items for Sale,
Calm Zone - Items for Sale,740.0,-3355.0,-1530.0,Items for Sale,
Calm Zone - Items for Sale,10.0,0.0,0.0,Items for Sale,
Calm Zone - Items for Sale,15.0,0.0,0.0,Items for Sale,
Calm Zone - Items for Sale,1.0,0.0,0.0,Items for Sale,
Calm Zone - Mariana's Veil Items,-3180.0,-2035.0,4020.0,Mariana's Veil Items,
Calm Zone - Mariana's Veil Items,2.0,500.0,0.0,Mariana's Veil Items,
Calm Zone - Mariana's Veil Items,740.0,-3355.0,-1530.0,Mariana's Veil Items,
Calm Zone - Mariana's Veil Items,10.0,0.0,0.0,Mariana's Veil Items,
Calm Zone - Mariana's Veil Items,15.0,0.0,0.0,Mariana's Veil Items,
Calm Zone - Mariana's Veil Items,1.0,0.0,0.0,Mariana's Veil Items,
Ocean - Ocean,-1270.0,125.0,1580.0,Ocean,
Ocean - Ocean,1000.0,125.0,-1250.0,Ocean,
Ocean - Ocean,-530.0,125.0,-425.0,Ocean,
Ocean - Ocean,1230.0,125.0,575.0,Ocean,
Ocean - Ocean,1700.0,125.0,-2500.0,Ocean,
Ocean - Sublocations,-1270.0,125.0,1580.0,Sublocations,
Ocean - Sublocations,1000.0,125.0,-1250.0,Sublocations,
Ocean - Sublocations,-530.0,125.0,-425.0,Sublocations,
Ocean - Sublocations,1230.0,125.0,575.0,Sublocations,
Ocean - Sublocations,1700.0,125.0,-2500.0,Sublocations,
Ocean - Harvesters Spike,-1270.0,125.0,1580.0,Harvesters Spike,
Ocean - The Arch,1000.0,125.0,-1250.0,The Arch,
Ocean - Haddock Rock,-530.0,125.0,-425.0,Haddock Rock,
Ocean - Earmark Island,1230.0,125.0,575.0,Earmark Island,
Ocean - Birch Cay,1700.0,125.0,-2500.0,Birch Cay,
Sunstone Island - Sunstone Island,-935.0,130.0,-1105.0,Sunstone Island,
Sunstone Island - Sunstone Island,-1045.0,135.0,-1140.0,Sunstone Island,
Sunstone Island - Sunstone Island,-1215.0,190.0,-1040.0,Sunstone Island,
Sunstone Island - Sunstone Island,-1145.0,135.0,-1075.0,Sunstone Island,
Sunstone Island - Sunstone Island,-1045.0,200.0,-1100.0,Sunstone Island,
Sunstone Island - Sunstone Island,-920.0,130.0,-1105.0,Sunstone Island,
Sunstone Island - Sublocations,-1045.0,135.0,-1140.0,Sublocations,
Sunstone Island - Sublocations,-1215.0,190.0,-1040.0,Sublocations,
